ADENECTOMIA PROSTATICA TRANSVESICAL
REDUCCION CRUENTA + RECOLOCACION CLAVO KICHNNER+ FIJADOR EXTERNO
REDUCCION INCRUENTA
REDUCCION INCRUENTA CON FIJACION DE YESO
REDUCCIÒN MANUAL
REDUCCION NO INCRUENTA + YESO
RELAPARATOMIA EXPLORATORIA
REMODELACION OSEA
REPARACION QUIRURGICA
RESECCION DE TUMOR DE MUSLO DERECHO
RETIRO + CURETAJE OSEO + TOMA DE MUESTRA PARA CULTIVO
RETIRO DE CATETER INFECTADO
RETIRO DE CUERPO EXTRAÑO
RETIRO DE ESPACIADOR + FIJACION EXTERNA
RETIRO DE FIJADOR EXTERNO + RAFI CON PLACA Y TORNILLO
RETIRO DE MATERIAL DE OSTEOSINTESIS TORNILLO + KIRSCHNER
RETIRO DE MOS
RETIRO DE MOS + LAMINECTOMIA + FIJACION CON PLACA
RETIRO DE MOS COMPLETO
RETIRO DE MOS.
RETIRO DE PACKING VESICAL POR RELAPAROTOMIA EXPLORATORIA
RETIRO DE TENCKHOFF
RETIRO DE TORNILLO
RETIRO TORNILLO DE POSICION
RETIRO Y COLOCACION DE CATETER TENK
REVISION DE LIMPIEZA QUIRURGICA + FIJACION KIRSCHNER
REVISION DE RINOPLASTIA
REVISION INSTRUMENTADA
REVISION INSTRUMENTADA BAJO ANESTESIA
REVISION SEGMENTADA
RINOPLASTIA
RLA
RLA + COLGAJO
RLS + COLGAJO
SEPTORINOPLASTIA CORRECTIVA
SEPTORRINOPLASTIA CORRECTIVA
TECNICA DE MININUC + IMPLANTE DE LIO
TENORRAFIA
TENORRAFIA TENDON DE AQUILES
TIROIDECTOMIA TOTAL
TORCION TESTICULAR
TRATAMIENTO QUIRURGICO
TUMORECTOMIA + BGC
TUMORECTOMIA + DRA
TUMORECTOMIA DE MAMA DERECHA
YESO EN SPICA
